checking_status,duration,credit_history,credit_amount,savings_status,employment,installment_rate,personal_status,other_debtors,age,residence_since,property,num_credits,job,num_dependents,telephone,foreign_worker,purpose_car,purpose_furniture,purpose_radio_tv,purpose_domestic,purpose_repairs,purpose_education,purpose_vacation
1,2.2481943623946687,2,0.5414244188767934,1,4,3,3,2,-0.8395941248783899,3,1,2,1,1,0,1,1,0,0,1,0,0,1
1,-0.2408572253028646,2,-0.6980192766355204,1,3,4,3,1,-0.8395941248783899,1,1,1,1,1,0,0,1,0,0,1,0,0,1
4,0.256953092236642,3,-0.3084798294745076,3,3,3,2,3,0.7435500452254252,3,2,2,2,1,0,0,1,0,0,1,0,0,1
1,-0.7386675428423712,2,0.1164722947011428,1,3,3,2,2,-0.5757367631944207,3,1,2,1,1,0,0,0,1,0,1,0,1,0
4,2.2481943623946687,2,0.5414244188767934,1,1,3,2,3,-0.2239269476157952,1,1,1,2,1,0,0,1,0,1,0,0,0,0
2,-0.7386675428423712,4,-0.6626065996208829,1,4,3,3,2,-0.8395941248783899,3,1,1,1,1,0,0,1,0,0,1,0,0,1
1,-0.7386675428423712,3,-0.6980192766355204,1,3,3,2,1,0.6555975913307688,3,2,2,1,1,1,0,1,0,0,1,0,1,0
3,-0.7386675428423712,2,-0.0960037673866823,1,3,4,1,3,-1.0154990326677027,3,1,1,1,1,0,0,1,0,0,1,0,0,1
2,-0.90460431535554,2,1.4267413442427317,1,1,3,4,4,3.030313846486492,1,1,1,2,1,1,0,1,0,0,0,0,0,0
4,0.7547634097761486,4,0.8955511890231687,1,4,2,2,3,-0.9275465787730462,3,2,1,1,1,0,0,1,0,0,1,0,0,1
1,-0.2408572253028646,2,0.1164722947011428,1,2,2,4,3,-1.1914039404570154,3,1,1,1,1,0,0,1,0,1,0,0,0,1
4,-0.7386675428423712,4,-0.7334319536501579,3,3,3,4,1,0.7435500452254252,3,1,1,2,1,1,0,1,0,0,1,0,0,1
4,1.2525737273156552,2,1.4621540212573692,5,5,3,2,2,0.1278828679628303,3,2,1,1,1,0,0,1,0,0,1,0,0,1
